location,team_name,player,jersey,position,height,weight,birthday,age,experience,school
Southwest,Houston Rockets,Austin Rivers,#25,G,4-Jun,200 lbs,1-Aug-92,26,6,Duke
Southwest,Houston Rockets,Kenneth Faried,#35,F-C,8-Jun,220 lbs,19-Nov-89,29,7,Morehead State
Southwest,Houston Rockets,Nene,#42,C-F,11-Jun,250 lbs,13-Sep-82,36,16,"Sao Carlos, Brazil"
Southwest,Houston Rockets,Isaiah Hartenstein,#55,F-C,Jul-00,249 lbs,5-May-98,20,R,
Southwest,Memphis Grizzlies,Avery Bradley,#0,G,2-Jun,180 lbs,26-Nov-90,28,8,Texas
Southwest,Memphis Grizzlies,Kyle Anderson,#1,F,9-Jun,230 lbs,20-Sep-93,25,4,UCLA
Southwest,Memphis Grizzlies,Delon Wright,#2,G,5-Jun,183 lbs,26-Apr-92,26,3,Utah
Southwest,Memphis Grizzlies,Jevon Carter,#3,G,2-Jun,196 lbs,14-Sep-95,23,R,West Virginia
Southwest,Memphis Grizzlies,Julian Washburn,#4,F-G,8-Jun,209 lbs,18-Dec-91,27,R,Texas-El Paso
Southwest,Memphis Grizzlies,Bruno Caboclo,#5,F,9-Jun,218 lbs,21-Sep-95,23,4,
Southwest,Memphis Grizzlies,CJ Miles,#6,F-G,6-Jun,220 lbs,18-Mar-87,32,13,Skyline HS (TX)
Southwest,Memphis Grizzlies,Justin Holiday,#7,F-G,6-Jun,181 lbs,5-Apr-89,30,5,Washington
Southwest,Memphis Grizzlies,Ivan Rabb,#10,F,10-Jun,220 lbs,4-Feb-97,22,1,California
Southwest,Memphis Grizzlies,Mike Conley,#11,G,1-Jun,175 lbs,11-Oct-87,31,11,Ohio State
Southwest,Memphis Grizzlies,Yuta Watanabe,#12,G,9-Jun,205 lbs,13-Oct-94,24,R,George Washington
Southwest,Memphis Grizzlies,Jaren Jackson Jr.,#13,F-C,11-Jun,242 lbs,15-Sep-99,19,R,Michigan State
Southwest,Memphis Grizzlies,Jonas Valanciunas,#17,C,Jul-00,265 lbs,6-May-92,26,6,"Utena, Lithuania"
Southwest,Memphis Grizzlies,Tyler Dorsey,#22,G,5-Jun,183 lbs,18-Feb-96,23,1,Oregon
Southwest,Memphis Grizzlies,Dillon Brooks,#24,G-F,6-Jun,220 lbs,22-Jan-96,23,1,Oregon
Southwest,Memphis Grizzlies,Chandler Parsons,#25,F,10-Jun,230 lbs,25-Oct-88,30,7,Florida
Southwest,Memphis Grizzlies,Tyler Zeller,#45,C,Jul-00,253 lbs,17-Jan-90,29,6,North Carolina
Southwest,Memphis Grizzlies,Joakim Noah,#55,C,11-Jun,230 lbs,25-Feb-85,34,11,Florida
Southwest,New Orleans Pelicans,Ian Clark,#2,G,3-Jun,175 lbs,7-Mar-91,28,5,Belmont
Southwest,New Orleans Pelicans,Stanley Johnson,#3,F,7-Jun,245 lbs,29-May-96,22,3,Arizona
Southwest,New Orleans Pelicans,Elfrid Payton,#4,G,4-Jun,185 lbs,22-Feb-94,25,4,Louisiana-Lafayette
Southwest,New Orleans Pelicans,Trevon Bluiett,#5,G-F,6-Jun,198 lbs,4-Nov-94,24,R,Xavier (Ohio)
Southwest,New Orleans Pelicans,Jahlil Okafor,#8,C,11-Jun,275 lbs,15-Dec-95,23,3,Duke
Southwest,New Orleans Pelicans,Dairis Bertans,#9,G,4-Jun,200 lbs,9-Sep-89,29,R,
Southwest,New Orleans Pelicans,Jrue Holiday,#11,G,4-Jun,205 lbs,12-Jun-90,28,9,UCLA
Southwest,New Orleans Pelicans,Cheick Diallo,#13,F,9-Jun,220 lbs,13-Sep-96,22,2,Kansas
Southwest,New Orleans Pelicans,Frank Jackson,#15,G,3-Jun,205 lbs,4-May-98,20,R,Duke
Southwest,New Orleans Pelicans,Darius Miller,#21,F,8-Jun,225 lbs,21-Mar-90,29,4,Kentucky
Southwest,New Orleans Pelicans,Anthony Davis,#23,F-C,10-Jun,253 lbs,11-Mar-93,26,6,Kentucky
Southwest,New Orleans Pelicans,Julius Randle,#30,C-F,9-Jun,250 lbs,29-Nov-94,24,4,Kentucky
Southwest,New Orleans Pelicans,Kenrich Williams,#34,G-F,7-Jun,210 lbs,2-Dec-94,24,R,
Southwest,New Orleans Pelicans,Christian Wood,#35,F,10-Jun,214 lbs,27-Sep-95,23,2,Nevada-Las Vegas
Southwest,New Orleans Pelicans,Solomon Hill,#44,F,7-Jun,225 lbs,18-Mar-91,28,5,Arizona
Southwest,New Orleans Pelicans,E'Twaun Moore,#55,G,4-Jun,191 lbs,25-Feb-89,30,7,Purdue
Southwest,San Antonio Spurs,Lonnie Walker IV,#1,G,5-Jun,205 lbs,14-Dec-98,20,R,Miami (FL)
Southwest,San Antonio Spurs,Quincy Pondexter,#3,F,7-Jun,230 lbs,10-Mar-88,31,6,Washington
Southwest,San Antonio Spurs,Derrick White,#4,G,4-Jun,190 lbs,2-Jul-94,24,1,Colorado
Southwest,San Antonio Spurs,Dejounte Murray,#5,G,5-Jun,170 lbs,19-Sep-96,22,2,Washington
Southwest,San Antonio Spurs,Chimezie Metu,#7,F,10-Jun,225 lbs,22-Mar-97,22,R,Southern California
Southwest,San Antonio Spurs,Patty Mills,#8,G,Jun-00,180 lbs,11-Aug-88,30,9,Saint Mary's (CA)
Southwest,San Antonio Spurs,DeMar DeRozan,#10,G,7-Jun,220 lbs,7-Aug-89,29,9,Southern California
Southwest,San Antonio Spurs,Bryn Forbes,#11,G,3-Jun,190 lbs,23-Jul-93,25,2,Michigan State
Southwest,San Antonio Spurs,LaMarcus Aldridge,#12,C-F,11-Jun,260 lbs,19-Jul-85,33,12,Texas
Southwest,San Antonio Spurs,Drew Eubanks,#14,F,10-Jun,245 lbs,1-Feb-97,22,R,
Southwest,San Antonio Spurs,Marco Belinelli,#18,G-F,5-Jun,210 lbs,25-Mar-86,33,11,"Bologna, Italy"
Southwest,San Antonio Spurs,Rudy Gay,#22,F,8-Jun,230 lbs,17-Aug-86,32,12,Connecticut
Southwest,San Antonio Spurs,Jakob Poeltl,#25,C,Jul-00,230 lbs,15-Oct-95,23,2,Utah
Southwest,San Antonio Spurs,Ben Moore,#26,F,8-Jun,220 lbs,13-May-95,23,1,Southern Methodist
Southwest,San Antonio Spurs,Donatas Motiejunas,#28,F-C,Jul-00,220 lbs,20-Sep-90,28,5,"Kaunas, Lithuania"
Southwest,San Antonio Spurs,Dante Cunningham,#33,F,8-Jun,230 lbs,22-Apr-87,31,9,Villanova
Southwest,San Antonio Spurs,Davis Bertans,#42,F,10-Jun,225 lbs,12-Nov-92,26,2,
